document_id,hazard_type,trigger_statement,forecast_variable,unit,operator,source,lead_time_days,variable_resolution_note
17253.0,Heatwave,Category 3 – 30% or higher excess mortality (ranging upwards as high as 45% to 65% excess daily mortality),Excess daily mortality,%,>=,NOA,5.0,as_extracted
17253.0,Heatwave,Trigger threshold: Category 3 with predicted excess mortality of 45% or higher,Excess mortality,%,>=,NOA,5.0,as_extracted
17272.0,Drought,More than 50% of the geographical area of a zone predicted to be drier than normal conditions (SPI < -1),Seasonal precipitation,%,>=,ECMWF,3.0,as_extracted
17272.0,Drought,At least 40% probability of below normal rainfall for JJA season,Seasonal precipitation,percentile,<=,ECMWF,1.0,as_extracted
17272.0,Drought,At least 45% probability of below normal rainfall for OND and MAM seasons,Seasonal precipitation,percentile,<=,ECMWF,5.0,as_extracted
17272.0,Drought,Crop yield reduction predicted to be more than 50% based on LEAP index,Crop yield reduction,%,>,ECMWF,84.0,as_extracted
17301.0,Heatwave,Temperature of 38°C or more for two consecutive days,Temperature,°C,>=,BMD,84.0,as_extracted
17301.0,Heatwave,Heat index of 38 or more for two consecutive days,Heat index,°C,>=,BMD,84.0,as_extracted
17333.0,Heatwave,Temperature exceeds the 85th percentile for three or more consecutive days during June to August,Temperature,percentile,>,Kyrgyzhydromet,210.0,as_extracted
17333.0,Heatwave,Lead time of 4 days for selected local points,Seasonal precipitation,days,>=,Kyrgyzhydromet,90.0,as_extracted
17333.0,Heatwave,Forecast monitored with ±2 degrees tolerance,Temperature,degrees,between,Kyrgyzhydromet,90.0,as_extracted
17333.0,Heatwave,72-hour forecast used to confirm heatwave occurrence,Heatwave occurrence,event,>=,Kyrgyzhydromet,90.0,as_extracted
17333.0,Heatwave,Heatwave occurrence probability with 72-hour lead time less than 75% triggers stop mechanism,Heatwave occurrence probability,%,<,Kyrgyzhydromet,90.0,as_extracted
17366.0,Flood,"River flow above 150,000 cusecs at Nowshera station of Kabul River predicted by flood bulletin C and significant flood warnings/advisories with 3-5 days lead time",River discharge,cusecs,>,FFD,90.0,as_extracted
17366.0,Flood,"Confirmation of very high-level flooding with flow above 150,000 cusecs at Nowshera station of Kabul River by flood bulletin A or B within next 48 hours",River discharge,cusecs,>,FFD,90.0,as_extracted
17366.0,Flood,Bulletin A: qualitative forecast with up to 3 days lead time,River discharge,cusecs,>=,FFD,90.0,as_extracted
17366.0,Flood,Bulletin B: quantitative forecast for next 24 hours,River discharge,cusecs,>=,FFD,90.0,as_extracted
17366.0,Flood,Bulletin C: weekly qualitative river catchment forecast with up to 5 days lead time,River discharge,cusecs,>=,FFD,90.0,as_extracted
17557.0,Drought,SPI value below -0.98,Seasonal precipitation,tercile,<=,KMD,90.0,as_extracted
17557.0,Drought,At least 33% chance of occurrence,Seasonal precipitation,percentile,>=,KMD,90.0,as_extracted
17557.0,Drought,Threshold exceeded in at least 3 of the 23 ASAL counties,Seasonal precipitation,counties,>=,KMD,90.0,as_extracted
17563.0,Drought,Forecast of an El Nino event with an impact level corresponding to a once-in-six-year event,Seasonal precipitation,years,=,IBF,4.0,as_extracted
17563.0,Drought,Forecast of IPC 4 conditions in FEWSnet Food Security Forecast Reports in March and June,Affected population,tercile,>=,FEWSnet,4.0,as_extracted
17563.0,Drought,"If first trigger not activated, activation requires IBF model detection of drought by April and official drought declaration by Government of Zimbabwe",Seasonal precipitation,percentile,>=,FEWSnet,7.0,as_extracted
17595.0,Drought,El Niño alert in area 3.4 for the next 3 months,Seasonal precipitation,percentile,>=,COPECO,7.0,as_extracted
17595.0,Drought,60% probability based on IRI forecast from the OND quarter (year -1),Seasonal precipitation,percentile,<=,COPECO,5.0,as_extracted
17595.0,Drought,Excluding AMJ and MJJ quarters due to predictability barrier,Seasonal precipitation,percentile,<=,COPECO,5.0,as_extracted
17595.0,Drought,Accumulated rainfall for the next 3 months between the 10th and 20th percentile,Seasonal precipitation,percentile,between,COPECO,3.0,as_extracted
17595.0,Drought,Forecasted serious precipitation deficiency,Seasonal precipitation,percentile,<=,COPECO,3.0,as_extracted
17595.0,Drought,Probability greater than 60%,Seasonal precipitation,percentile,<=,COPECO,3.0,as_extracted
17595.0,Drought,Starting in the March-May (MAM) quarter (year 1),Seasonal precipitation,tercile,=,COPECO,3.0,as_extracted
17638.0,Drought,Seasonal outlook issued in September indicating below normal rainfall,Seasonal precipitation,percentile,<=,LMS,150.0,as_extracted
17638.0,Drought,"October, November, December (OND) rainfall confirmed below normal",Seasonal precipitation,percentile,<=,LMS,150.0,as_extracted
17638.0,Drought,Vulnerability Assessment Analysis report issued in January projects 20% of the population in drought-induced IPC Phase 3 and 4 in January,Affected population,%,>=,LMS,30.0,as_extracted
17645.0,Cold Wave,Temperature in GBAO below -39.0°C (1st percentile) for 3 or more consecutive days,Temperature,°C,<=,Hydromet,30.0,as_extracted
17645.0,Cold Wave,"Temperature in DRS, Sughd, and Khatlon below -21.1°C (2nd percentile) for 3 or more consecutive days",Temperature,°C,<=,Hydromet,30.0,as_extracted
17691.0,Cold Wave,7-day temperature forecast minimum below -40°C (-35°C in Karaganda region) with precipitation and increased wind speed persisting for at least two days in any district,Minimum temperature,°C,<,Kazhydromet,30.0,as_extracted
17691.0,Cold Wave,"Region-specific temperature thresholds for Orange level: Northern Kazakhstan -40°C, Akmola -40°C, Kostanay -40°C, Pavlodar -40°C, Eastern Kazakhstan (including Abay) -40°C, Karaganda -35°C",Temperature,°C,<=,Kazhydromet,5.0,as_extracted
18031.0,Heatwave,Day temperature exceeding 39.5°C in the North for 4 consecutive days during July-August,Day temperature,°C,>,Tajik,0.0,as_extracted
18031.0,Heatwave,Day temperature exceeding 43.5°C in the South for 4 consecutive days during July-August,Day temperature,°C,>,Tajik,,as_extracted
25999.0,Heatwave,"Observed Conditions: Daily maximum temperature (Tmax) exceeding 41°C in Nepalgunj, 40.5°C in Dhangadi, 37.5°C in Biratnagar, 40.5°C in Siddharthanagar",Daily maximum temperature,°C,>=,DHM,,as_extracted
25999.0,Heatwave,Observed Conditions: Relative humidity (Rh) of 45 percent or higher in the respective city where Tmax condition is met,Relative humidity,%,>=,DHM,,as_extracted
25999.0,Heatwave,Forecast Criteria: DHM issues a red alert heatwave bulletin ('take action') for the next 3 days in the target city or its associated district,Heatwave intensity,event,>=,DHM,,as_extracted
25999.0,Heatwave,Forecast Criteria: Numerical Weather Prediction (NWP) from DHM forecasts daily maximum temperature above the 99th percentile threshold in the target city/municipality for the next 3 consecutive days,Daily maximum temperature,percentile,>,DHM,,as_extracted
26012.0,Drought,40% or more probability of below-normal rainfall totals over July to September,Seasonal precipitation,percentile,<=,ECMWF,,as_extracted
26012.0,Drought,Forecast issued in April,Seasonal precipitation,percentile,>=,ECMWF,,as_extracted
26012.0,Drought,Fodder deficit of 40% or more,Fodder deficit,%,>=,Ministry,,as_extracted
26012.0,Drought,Assessment conducted in November,Seasonal precipitation,percentile,>=,Ministry,,as_extracted
26012.0,Drought,Region in IPC Phase 3 or higher due to drought,Affected population,IPC phase,>=,Cadre,,as_extracted
26012.0,Drought,Cadre Harmonisé results from November,Seasonal precipitation,percentile,>=,Cadre,,as_extracted
26020.0,Storm,Tropical cyclone forecasted to cause winds of at least 64 knots (Category 3 on Australian scale),Wind speed,knots,>=,RSMC,,as_extracted
26020.0,Storm,"Population in affected zone at least 5,000 people",Affected population,people,>=,RSMC,,as_extracted
26020.0,Storm,Average rainfall over the whole country during two consecutive days reaches 190 mm,Rainfall total,mm,>=,FMS,,as_extracted
